titles,content
10 Tips to Crush It at the SA Tech Job Fair,"The third bi-annual San Antonio Tech Job Fair is just around the corner. Over 25 companies will be at The Jack Guenther Pavilion on April 10th, and they are hungry for new tech team members! At the job fair, companies want to quickly source a list of new talent leads. AKA they need to find qualified employees they can begin interviewing for jobs. Recruiters will represent their organization at tables with informational handouts and company swag. Your goal at a job fair is to set yourself apart from other candidates and ensure your name makes it to the top of those lead lists. Think of your interaction with the company as a mini screening interview. The company rep will subtly evaluate basic qualities like your professionalism, communication and interpersonal skills, work experience, and interest level in the organization. Job fairs are also an opportunity for you to gain information about companies that may not be easily accessible online.   At Codeup, we’re passionate about bridging the gap between talent and demand, so we’ve outlined 10 tips to ensure you bring your A-game and leave a lasting impression! RSVP for the SA Tech Job Fair taking place at the Jack Guenther Pavilion – September 18th starting at 4 pm. "
5 Hiring Trends in Software Development,"  Companies (and ideal candidates) care about solving problems for the end user. Hiring needs in the tech industry – specifically on software development teams – evolve almost as quickly as the technologies themselves. One year employers are trying to get their hands on Ruby developers, and 12 months later, a new JavaScript framework is all the buzz. This doesn’t make things easy for job seekers or new employers looking to hire their first software developers. Drawing on conversations with our 200+ employer partners at Codeup, we’ve compiled a shortlist of five trends we’ve seen emerge recently. In a nutshell, it’s all about solving problems for the end user. First, what is Agile? In a nutshell, it’s a set of management practices that allows software developers to write code and build products more efficiently. Agile has gained serious ground in IT departments across a variety of industries, from finance to food service. While Agile doesn’t explicitly require a team of full-stack developers, it does ask developers to be fully engaged in all facets of building an application, from creating user stories to deployment. As a result, roles on an Agile team start to blur, and each individual winds up working on features across the tech stack.= There’s no doubt that a team of specialized front-end and back-end developers can build great software. However, today’s hiring managers seem to have a preference for full-stack developers, or at least those who understand both sides of a given tech stack, because these well-rounded employees have a leg up on others in an Agile environment. Structure and efficiency are still important for software engineers to get right, but more and more, it’s critical for developers to code across the stack with the end user at top of mind. In fact, Agile teams dedicate time to create user stories that inform the products they build, and each team member is involved in a recurring (or iterative) design process. Tim Brown, the CEO of international design firm IDEO, says, “Design thinking is a human-centered approach to innovation that draws from the designer’s toolkit to integrate the needs of people, the possibilities of technology, and the requirements for business success.” Software is everywhere these days, and it’s not just for techies. Solutions need to be slick, innovative, and easy-to-use. The latest version of iOS or Android needs to be impressive enough for tech enthusiasts to get excited about and straightforward enough for grandpa to check his voicemail. Most importantly, good developers realize those two things aren’t mutually exclusive. Now more than ever, a strong understanding of JavaScript can really help software developers land a great job. Once a fairly basic, client-side scripting language, JavaScript has made powerful gains in functionality while staying lean and efficient. In recent years, Node.js, a server-side runtime, has transformed JavaScript into a full-stack powerhouse. JavaScript continues to deliver on the front-end, too: React.js has revolutionized user interface development and has become the front-end JavaScript framework of choice for Fortune 500 companies and startups alike. Diversity in tech remains elusive and persists as a key talking point in the industry. Women, as well as black, Latinx, and LGBT workers, remain severely underrepresented. In light of this year’s high-profile headlines on gender diversity issues at Uber and Google, many tech companies have doubled down on their commitments to boost workplace equality and employ people who authentically empathize with a diverse group of end users. We’ve also noticed a growing trend toward diversity initiatives that aim to include nontraditional hires like military veterans, career changers, and candidates without four-year degrees. For example, the Microsoft LEAP initiative seeks candidates who have tech experience but may have been out of work for a while (e.g., stay-at-home moms or dads) or career changers with at least six months of software development experience. This is less of a hiring trend than it is a skill that employers continue to require of all new developers, especially non-traditional hires who may not have a computer science degree or years of experience. Software developers – especially those new to the field – are in a constant state of learning new technologies and solving problems they’ve never encountered before. The ability to define a problem, recognize key inputs, and identify potential solutions is particularly important when the quality of a line of code depends on the developer’s ability to think logically and efficiently. Interviewers often ask candidates to walk through a scenario, usually a past experience or a hypothetical case study, where the candidate needs to demonstrate their ability to assess a problem and formulate a solution. Sometimes these questions can be technical and quantitative, other times they’re more behavioral, but either way, it’s clear that companies want employees who think well on their feet and come to their managers with solutions instead of self-explanatory questions. Beyond these trends, employers continue to look for one thing above all else: technical skills! Before learning a new JavaScript framework and doing research on best practices for design thinking, you’ve got to have the fundamentals of software development under your belt. That’s where Codeup comes in. Our 18-week career accelerator gives you all the tools and training you need to capitalize on these trends and land a great job as a software developer. To learn more about Codeup, email us at info@codeup.com or apply today!  "
What Makes a Successful Software Developer?,"  Written by Dimitri Antoniou Software developers build the programs, games, and apps that run on your computer, cell-phone, tablet, video-game system or e-reader. A software developer can be front-end, back-end or full-stack. Successful software developers come from diverse backgrounds and a variety of industries. Here at Codeup, our job is to advance existing careers and launch new ones. That means we’ve seen it all. We’ve learned that being a successful software developer comes from the right combination of personality traits and technical knowledge. We’ve gathered a few questions to ask yourself if you are considering becoming a software developer. You will spend your time building, improving and maintaining different types of software across different pieces of technology. This means that working with computers, phones & tablets should be something you enjoy. This might sound obvious, but it’s huge! We often meet students who are attracted to tech because of exciting new products, collaborative work environments, and flexible schedules. These are all awesome perks, but remember that the most important piece of your work will be the code itself. A software developer spends the majority of their time fixing problems and building frameworks. Technology is a constantly evolving industry. While one language is hot today, it might die tomorrow. Our co-founder, Jason Straughan, often reminisces about writing an entire book on a language that disappeared from use by the time the book was published. What does that mean for you? You should love the process of learning new skills and keeping up to date with cutting-edge technologies. A career in technology gives you the opportunity to reinvent yourself many times. You may love working with databases today and find that UI/UX is where your strengths are in a year. You will need to be able to adapt to changes in the industry and be willing to learn on the job or put in the hours on your own time. The more programming languages under your belt the more value you will be able to provide during every stage of your career. Grit is a character trait that can make or break long-term success. Psychologist Angela Duckworth explains it as, “Passion and perseverance for very long-term goals. Grit is having stamina…sticking with your future, day in and day out.” When it comes to software development, having grit means learning from your failures. We’ve seen students struggle not because they can’t figure out the content, but because they are afraid of failing. Move past that fear! You will inevitably make mistakes, but our successful students are those that learn from their failure along the way. At the end of the day, code is designed to solve a problem! Your ability to think logically, brainstorm creative solutions, proactively research answers, and fill gaps will make you an effective and efficient software developer. That’s why we test for problem-solving ability in our admissions process. Do you like tinkering, Googling, fixing, solving puzzles, and finding your own answers? If you do, you may appreciate the challenges that come along with developing software and debugging code. These are the questions to ask yourself when making the decision to become a software developer. If you answered yes to these questions, coding could be for you. At Codeup we offer an 18-week career accelerator that will help you get a foot in the industry. Ready to start? Call Codeup at 210.802.7289 or shoot us an email at info@codeup.com"
Alumni Spotlight: Stefanie Young and Lorne Barfield,"  Stefanie Young and Lorne Barfield are both Codeup grads and the co-founders of Innov8 Place, a website development company. Here, they share their highs, their lows, their experience and their best tips for succeeding during and after the program. Stefanie: I’m originally from California. I grew up in the Silicon Valley before the days of Google and had a pretty decent handle on free internet via AOL Trial discs, Napster torrenting, and multi-player gaming platforms (before they were cool). Given the mid to late 90’s, I had quite a bit of backlash within the online communities for my gender and my age. I gave up on tech during my early college years when a female professor told me, “there no room for women in the booming tech industry.” I quickly turned to music and language arts and found myself pursuing the long-term degree before leaving for Texas to enter a Japanese Studies program. I had a rude awakening and poor experience when most jobs I was offered were non-technical, non-creative, and extremely repetitive. It wasn’t going to work. My grandfather had always been a firm believer that I was meant for tech, engineering and developing new ideas. After chatting with him about my failed attempts and unhappiness, I decided to give tech another try through coding and entered into the Codeup family. I worked full-time while attending a night class and found myself doubting my abilities from the beginning. During our first project, something clicked and with the help of the instructors, I had a new-found love for problem solving, developing and code. I haven’t turned back since. Lorne: I’m also from California.  I hail from Oakland.  I’m into just about everything.  I have worked as a high school basketball coach, personal chef, bartender, bouncer, opera singer, paralegal/legal assistant, and dance instructor.  I love movies and books….I read about 40+ a year.  I’m into fantasy and sci-fi, but also enjoy reading Deepak Chopra and books about travelogues (which is somewhat funny because I’m terrified of traveling). I’m a hippie, jock, musician, and nerd. I love people and connection and for someone who grew up largely an only child, I’m always out creating new family.  If something interests me, I pursue it.  I like to dive into things that I can share with others.  I’m an avid NBA fan (Go Warriors!) and if you ever want to argue about basketball, I’m game.  If you want to see me fully free and in my element, put me around music and dancing. Programming puts me back in my Lego days, where I get to be creative and build things. It’s my new adventure.  Stefanie: I wasn’t always interested in programming. I had always seen programming as a career that leads to a dark room with smelly individuals, Cheetos and Mountain Dew. I didn’t want to be placed in a cubical and made to work 10 – 16 hour days to complete a project or operating system. Web development when I first set out to learn tech was not a major degree option or talked about much. Browsers were faulty and new to the scene. It was a questionable career path at the time. My grandfather was an engineer with Stanford University and always brought home hardware for PCs. I thought that would be my path as well. I loved building and problem solving the communication errors between parts. Little did I know that programming was that too on a more abstract and dynamic level. Lorne: I absolutely thought programming was way out of my range and my experience.  Nothing about it felt like something I would be into.  I had simply grown out of my old position and location.  I was a paralegal in San Francisco and I was no longer challenged.  I wanted to go back to school or do something new but had no clue what.  It was too expensive to do there, my parents brought up Codeup (they live here), and here I am.  Stefanie: Honestly, I was extremely doubtful of the program, especially after being trained into the thought process that traditional college was the only form of useful education and the only experience one should seek before career searching. It wasn’t until I was trying to break into marketing firms, coding communities and design groups that I was told about the program. Three people approached me and recommended the program. I didn’t listen. Then life started shouting it at me. I saw the billboard… then a marketing card in the mail… and then I heard a friend talking about their acceptance into the program. Finally I gave in and went to the Codeup location.I took a couple of tests and passed with flying colors. I decided to take the leap since they were offering a night program that started after work hours. Since they helped with job placement as well, I took them to be my chance at a better work life. Lorne: I was on the verge of going to teach English in Turkey when my parents suggested that I look at Codeup.  I took the test, not sure if I’d get in, and then when I did, I bought a ticket the next day and the rest is history.  Stefanie: Overall, my experience was eye-opening. I did not expect to have young mothers, grandmothers, high school graduates or college graduates with Masters in the same class. The culture was liberating since we were all there for the same reason – to change our paths and achieve new goals. The instructors were very hands on and helped everyone thinking about problem-solving in new ways and how to attempt developing ideas out of nothing. The hardest step was always deciding where to start and finding the confidence to dive in, code first, and prepare to work through your own problems and use the resources available.  Lorne: Codeup opened my eyes to a new world.  They made programming and something that seemed so daunting, really fun.  I never thought I would enjoy it, but the collaborative nature of it and the creative juices that got to come out, made me fall in love with it.  The instructors, the classroom, everything about it made me feel like I could do it.  I think that was the largest thing.  Despite any difficulties or frustrating, I felt empowered…like given time and community, I could solve anything.  That’s an awesome feeling.  Stefanie: The program taught me independence and confidence. I am more free-thinking than I have ever been. I understand how to think about everyday issues from multiple viewpoints, and I know how to stand my ground and prove my points and way of thinking. I know that it’s okay to be wrong and how to go about admitting it. Even if it seems counterproductive to building independence, I know it’s okay to ask for help.The program also taught me about resourcefulness and communication on a whole new level. These two features alone were enough to land me just about any job. Soft skills are just as important as the hard skills.  Lorne: It taught me how to break down problems.  It taught me how to ask for help and that is perfectly right and ok. Codeup gave me my first job, and kind of my second, as I worked for one of the founders as my second.  They always believe in their students and help them match and grow.  Stefanie: Understand that this program is meant to accelerate your learning of development. You have to be hungry for this knowledge and supplement the curriculum outside of the classroom as well as practicing it. There has to be a drive for the goal ahead. Be willing to sacrifice some of your free time.This class is so much more rewarding if you learn to work as a class unit early on and help each other succeed. Employers will see it in your example work, the projects and want to hear about your ability to communicate and mesh well as a developer. Be open-minded and be willing to be wrong. I learned so much more from being wrong than from being right. Experience is priceless in the long run.  Lorne: Stay patient and humble.  This world of programming is huge.  It can be overwhelming.  Just keep that learner mind and understand that time and keyboard time are your greatest assets.   It may not feel like you’re growing, but then you’ll look up every now and then and realize just how much you know and how far you’ve come.  It’s a pretty awesome feeling.  Stefanie: The staff and fellow classmates made the program great in my eyes. The interactions and experiences of having a new community of people who had similar goals made for a welcoming and productive environment. Lorne: I think the greatest part is the classroom.  The idea that when everyone shares knowledge, everyone succeeds.  The collaborative power of coding is insane and if there’s anything I can attribute to the rapid rise of technology is that it brought a collective human mind to any problem.  People from all over the world now have the ability to work together to create brand new things.  You get your first taste of that in the classroom.  The sense that everyone wants you to succeed and you can lean on one another to fill in gaps where you may not be the strongest.  It’s a really amazing feeling."
Alumni Spotlight: Mary-Kaitlin (MK) Warren,"From being an Assistant Manager at Entreprise Rent-A-Car to becoming a stellar programmer, MK shares her path that led her to where she is now—a student in the Microsoft LEAP program.  Random. My senior year of high school, I started watching Bones and first heard of Anthropology. So I majored in Anthropology. I also majored in German, because I wanted a back up plan in case I decided not to go to grad school for Anthropology, and everybody knows that companies are fighting over German majors. The spring semester of my senior year, I had no plan and my family told me that I needed to get a job, so I hit up Monster and applied to Enterprise’s Management Training program. Randomly, I got the job. After 2 years I decided I didn’t want to do that for the rest of my life. I got on Monster (I should send them a card) and randomly found Codeup. I think it was an ad? Pretty sure I didn’t know what a bootcamp was at the time. After that, it gets less random and more Codeup driven. My first job after Codeup was with a company that had come to my Demo Day. The job after that was with a company that came to do onsite interviews at Codeup. I found out about my current opportunity through Codeup as well. So… three cheers (or jobs) for Codeup!  I had taken a computer science class in high school and done well. When I was looking to transition out of the customer service/sales realm, I knew that I wanted a set of hard skills, and luckily Codeup offered a place to grow those.  I thought about trying to do something online, like CodeAcademy, but I ended up going with Codeup because of the connections. Where as DIYing your coding education is possible, it’s hard to get your resume through the door if you have no professional experience. Codeup helped make initial connections that have propelled me into the career that I want. Also, I am terrible at making myself watch videos online.  I am drawn to programming because there is an answer. If your code doesn’t compile, there is a reason (and probably a silly one at that). It was a nice change of pace coming from a liberal arts background, where things are a little less black and white.  Definitely the snacks.  It’s hard for a coding school to do this, because it is a business, but a little more clarity upfront about the types of positions to expect (especially in a market like San Antonio), would have been nice. Part of the reason why I decided to do Codeup was the claim that graduates made 15k more afterwards, and so I took out the loan for 15k with the idea that I could pay it back in less than a year. A month in, I realized that the average graduate salary was about 15k less than I was making, so that was a little disappointing and cause some numbers shuffling. Again, I know that’s kind of a hard thing to change, but it’s the only suggestion that I have. Everything else was pretty good. Well, speaking in hindsight, short term was to get paid to program and get some experience on my resume. Long term is to move into a tech arch role, change the world with some awesome software and/or hardware, and become Tony Stark. We’re on the comeup.  I would say that San Antonio has a lot of companies that have very robust SWE communities that exist outside of the Downtown/Houston street epicenter. I think that because of the geography of San Antonio (read: sprawl), it is harder to see than a place like Austin or Seattle.  Codeup is there to support you. Practically speaking, their success is your success. Aside from that, everyone there is super supportive and just generally nice. If you aren’t understanding a topic, the instructors are willing to help and walk you through it (even on their lunch break. WOW!!!).  This is a bit tricky. I would say that first and foremost, know you’re own truth. Software isn’t for everyone, so have that moment of honesty where you decide if you are doing this because you like the idea of programming every day, or because you like the idea of a 6 figure salary in 4 months and working from home everyday (spoiler alert: highly unlikely for your first, or dare I say, second programming job). If you are passionate about building software for the rest of your life, I honestly believe that Codeup is the best place to start that journey. The community is incredible; the instructors are amazeballs; the staff is incredibly supportive; and the founders are boss *** hustlers. It truly is the best place to start your development journey in San Antonio. (P.S. if you are from out of town, forget Codeup. Come to San Antonio for the breakfast tacos, and stay for Codeup.)  Dylan sent out an email with some information about the program, and it seemed like an awesome opportunity. If you don’t major in CS, there aren’t a lot of opportunities to “intern” for the Microsofts/Googles/Facebooks of the world. LEAP is awesome, because it gives you that same foot in the door that an internship gives, even if you didn’t go the traditional Computer Science route. (Also: Seattle weather, multitude of hiking trails, coffee).  Keep learning. Become Tony Stark.  c:\myPath. In other words, Codeup’s Career Services and Development has gotten me 3/3 gigs. That goes to show that just because you get your first job, doesn’t mean that you are out of the family."
Competitor Bootcamps Are Closing. Is the Model in Danger?,"  In recent news, DevBootcamp and The Iron Yard announced that they are closing their doors. This is big news. DevBootcamp was the first programming bootcamp model and The Iron Yard is a national player with 15 campuses across the U.S. In both cases, the companies cited an unsustainable business model. Does that mean the boot-camp model is dead? Bootcamps exist because traditional education models have failed to provide students job-ready skills for the 21st century. Students demand better employment options from their education. Employers demand skilled and job ready candidates. Big Education’s failure to meet those needs through traditional methods created the fertile ground for the new business model of the programming bootcamp. Education giant Kaplan and Apollo Education Group (owner of University of Phoenix) bought their way into this new educational model when they purchased The Iron Yard and DevBootcamp. They purchased their competition with the intent to scale up the model. Unfortunately, Big Education is too habituated to coming up short for students. They bought the upstarts that challenged them, tried making changes to run those bootcamps in the “Big Education” way, and, sadly, they’ve closed the doors when they realized that scaling education is more challenging when student outcomes truly matter. The bootcamp model is still new and there will be plenty consolidation, competition, and changes in the future. This model is based on actually being adaptive, innovative, and sustainable. And there’s always room for innovation."
Codeup Doubles Down on Transparency in Student Outcomes,"With pride and excitement, we’d like to announce that Codeup is an official founding member of the Council on Integrity in Results Reporting (CIRR). Codeup and all CIRR member institutions have agreed to a detailed set of student outcomes standards that eliminates unreliable graduation rates, ambiguous definitions of employment, and misleading exclusions from job placement rates. We’re doubling down on our commitment to long-term student success, and we’re confident that CIRR will add an extra layer of value and integrity that our alumni, current students, and prospective applicants already expect from their Codeup education. At all stages of the Codeup program – admissions, in-class immersion, and the job search – our staff and instructors aim to provide students with realistic advice, so they can make the most of their software development education. Historically, we’ve done this in three ways: Even with ongoing efforts to improve these processes that monitor student success, however, we’re the first to admit that we’re human. As a small, evolving program, we recognize that we can always provide students with better feedback through detailed performance evaluations, structured student one-on-ones with instructors and staff, and transparency in student outcomes data. Our team has already addressed evaluations and one-on-ones, but forming a consensus on bootcamp outcomes data has been an industry-wide puzzle until now. We began resolving this issue by asking ourselves a follow-up question: With transparency and accuracy, how do we report on students who leave Codeup or do not obtain employment? Fortunately, other principled, results-driven coding bootcamps have asked themselves the same question, and over the past year, we’ve come together under the CIRR umbrella. For the sake of our students, our alumni, and the future of our unique approach to coding education, we’ve agreed to a detailed set of standards that establish new definitions, documentation, and validation requirements related to student graduation and job placement data. Critical feedback from students and alumni on bootcamp outcomes has informed so much of the CIRR process. Thanks to this input, the CIRR standards support the concerns of these very students by enforcing strict standards for student outcomes reporting and, in turn, providing Codeup with even more incentive to ensure student success. We appreciate our community for holding Codeup accountable to the high standard you deserve. We hope you will continue to do so, as we advance our mission to help people launch rewarding careers in software development. As always, please feel free to reach out to any members of the Codeup staff or info@codeup.com with any questions or comments."
The Codeup Commitment to Your Financial Well-Being,"We’ve all seen the infomercials. Schools like ITT Tech and Career Point College have been peddling expensive, low-ROI degree programs for years. Students take out a loan to cover costs, only to discover that the school’s career services department doesn’t measure up. They graduate with few job prospects and lots of debt. Recently, regulators have shut down those schools because they’ve failed to put students’ interests above their own. We care about your finances, and we believe you’ll be a more engaged Codeup student and a better developer when you minimize your financial burdens. Our staff wants to help you do just that, so here’s our commitment to you: It’s that simple, and because we love transparency, here’s how we ensure our team always puts your financial well-being at top of mind: A fair and selective admissions process. Codeup pre-screens applicants for qualities we see in successful software developers, like problem-solving ability and motivation. Unlike other schools, we’re okay turning away students who might be better off in another career. People from all walks of life can become great coders, but we want to be sure your investment of time and money will result in a better career. Easy-to-understand funding options from reputable partners. As of this writing, Codeup is the only accelerated coding school in the South to accept G.I. Bill® benefits. Here’s a full list of ways to fund your Codeup experience: An employer network based on relationships, not kickbacks. Employers fulfill their talent needs with us because they know the quality they get with a Codeup developer. Our career development team has one goal: Get our students into great jobs. We don’t charge employers for our services, and we don’t receive any commission for successful hires. We’re committed to helping people become stellar coders, but we have a conscience, and we don’t accept students for the sake of filling seats in our classrooms. Come learn to code from people who care. Nothing makes us happier than fielding questions from prospective students. Are you unsure if Codeup is right for you? Do you want to become a software developer, but you’re not sure how you’ll pay rent in the meantime? Give us a call (210.802.7289), shoot us an email (info@codeup.com), or fill out our quick application, and we’ll be in touch shortly."
"ITT Tech Closes, New Model of Education Rises","ITT Tech’s recent closure highlights the time barriers, financial risk, and poor career prospects that are finally catching up with the traditional for-profit education industry. So what can students do instead? Forbes Magazine ranked San Antonio as the American city with the 15th highest rate of job growth in 2015 – no surprise given our city’s recent swell in tech and entrepreneurship. The boom has created a mismatch between a surplus of available jobs for developers and a shortage of local technical talent. Codeup, a career accelerator for new software developers, has begun bridging that gap by training 267 developers and creating $5.8 million in new tech salaries since 2013.  Codeup is different from traditional models of continued education. Four-year universities and two-year technical schools often no longer serve students’ needs. The recent closure of ITT Tech, one of the nation’s largest for-profit educational institutions, is a great example. Tuition at schools like ITT Tech, DeVry, and Kaplan is high ($45,000 – $90,000), they have been found to use predatory lending practices, and they rank highest among colleges that leave students in the most debt. Graduates of ITT Tech San Antonio who received federal financial aid earned an average salary of only $38,400 ten years after completion, just barely above the national average for the category. Their overwhelming time commitment, high tuition fees, and limited career support make it hard for students to complete degrees and advance their careers.  Given the decline of these diploma mills and a changing jobscape, other forms of education have exploded. The new reality is that the traditional college student archetype is now a minority, while demands for alternative, dynamic educational models are only increasing. Students need a better way to enter the workforce with relevant technical skills.   As a four-month intensive career accelerator, Codeup offers something special: a place where students can find like-minded peers and launch a new career. Our classroom-based program turns non-techies into software developers. In addition to excellent technical instruction, students receive one-on-one career guidance and gain opportunities to connect with employers. If a graduate cannot find employment within 6 months, Codeup offers a tuition back guarantee. We partner with multiple reputable loan and grant partners to make financing easy, and also accepts GI benefits. Graduates have increased their salary by $17K in the first year on average.  In light of the recent closings of ITT Tech across the country, students should pause to reconsider their educational path choices. Codeup is San Antonio local, dedicated to providing students with community, professional independence, and technical literacy. Are traditional models the best option, or might Codeup offer something better?"
Codeup’s Impact on the San Antonio Tech Community,"After joining Codeup in early 2016, I quickly realized what sets us apart from other coding bootcamps: community. Codeup leads community development by sponsoring free learn-to-code workshops, monthly coding challenges, regular developer meetups, and closely partnering with many local companies around tech centered events.  We also hosted the Big Data Code-a-thon, a civic-minded hackathon, which allowed local software developers to use water data to create amazing new software for the Edwards Aquifer Authority.  Codeup consistently drives growth in the number of skilled developers available in the SA tech community by educating hundreds of budding software developers.  As early as our first class, Codeup contributed to doubling the number of software developers employed at Geekdom.   Our team is proud to offer GI Bill support, job placement services, top-notch career planning workshops, and a diverse student population. 62% of Codeup students are minorities and 24% are women. Our premier immersive coding program offers a personalized approach to delivering technical coursework and career coaching, which focuses on critical topics like resume writing, career mapping, technical white-boarding, and interviewing skills. We also support our students all the way through job placement! We are so confident in our program that we offer a tuition refund, which ensures that we hold ourselves accountable to delivering a top-notch programming education and effective placement services. The Codeup Founders & Team are passionate about contributing to the growth of the SA Tech Community. Our immersive program is targeted at early career or career transitioning developers that have an appetite for problem solving and learning.  Codeup also partners local startups and small tech businesses to offer an Apprenticeship Program to promote student growth and mentorship.  We are proud to be stewards of the San Antonio Tech Community by providing a top-notch coding education and creating job-ready software developers!"
Bootcamp Living Expenses? Codeup’s Got You Covered.,"Ready to apply to Codeup? Fill out our online application! It takes 5 min. to complete, there’s no coding experience required, and we help cover your bootcamp living expenses. You’re ready to increase your earning potential. You’re ready to kickstart a fulfilling career as a software developer. But your rent and car payments are keeping you in that dead-end job. Bootcamp living expenses are all too real. Fear no more, friends. Codeup and Skills Fund have a solution for you. A leading career accelerator, Codeup transforms student lives with an outcomes-based software development education. Codeup is proud to partner with Skills Fund to provide access to a diverse set of students. We’re dedicated to removing barriers to your Codeup training and your career. As of August 2016, you can finance your Codeup tuition (minus the deposit), and add up to $6,000 as a living stipend during your program. We’re proud to offer financing under one low, universal interest rate for all approved students – regardless of your credit history or current position in life. Our partnership includes: Ready to move forward or learn more? Visit our partnership site at Codeup.Skills.Fund today. Be sure to check out the monthly payment calculator. That way, you’ll know your payments before submitting your online application. It only takes minutes to complete. Fill out our online application! It takes 5 min. to complete, and there’s no coding experience required."
6 Tips For Picking The Best Coding Bootcamp,"Having a tough time choosing the best coding bootcamp for you? Not sure whether the bootcamp you’ve just been admitted to is legit? Well, you’re in luck! As Codeup‘s admissions director, I speak to dozens of current and prospective students everyday. I’m here to help cut through the noise and share feedback from those students, and help you on your path to picking the best coding bootcamp for you. Program fit and quality are key to launching a successful career as a software developer, and there are six non-negotiables to keep in mind as you make your decision. We’ve all dealt with disengaged teachers, but at a good program, you shouldn’t have to. Be sure that there’s a full staff of bona fide instructors that maximize individual attention and mutual accountability. Look for three things in your programming instruction: actual work experience in the industry (not just at the bootcamp!), a passion for teaching, and access to one-on-one tutoring. College computer science courses are heavy on theory, light on useful applications. That’s great for some folks, but a good immersive coding program gives you the tools you need to get a job, and it’s best to learn from people who’ve been using them to build creations of their own. When reviewing instructors’ credentials, look past the fancy degrees and give brownie points for web development jobs and industry savvy. With that in mind, some of the most brilliant software developers simply aren’t the greatest teachers. You want to be sure your instructors love interacting with students, explaining complex concepts to beginners, and offering one-on-one help whenever needed. Also, when possible, be sure to do a campus visit and meet the instructional staff. The program staff should always be open to this. Alright, I’ll say it. Be wary of coding schools with multiple campuses. Some bootcamps are decent in one city and terrible in another. It’s much easier for a program to give you quality, individualized attention when the staff and instructors aren’t answering to people in a different time zone. There’s decades of evidence for this. The country’s best universities hunker down in one spot and focus on student success. Money-hungry diploma mills have locations in strip malls from coast-to-coast, some of which are known for high dropout rates and have been banned from recruiting military personnel. As with any decision in higher ed, choosing a focused coding bootcamp makes all the difference. You’ve probably heard people compare learning programming to learning spoken languages. There are lots of similarities, but there’s a big one to keep in mind: immersion. Both types of languages are learned best through using the language all day, every day, with other people, for an extended period of time. A coding bootcamp worth your time should provide a collaborative environment that immerses you in code. You’ll be able to sharpen your new skills alongside a team of experts and vetted fellow students. Instructors push you to the next level, and when the going gets tough, you can always ask one of your bright classmates—a whole group of bright classmates, in fact! What’s the end game of any good coding program? Getting you a well-paid job at a company you like! First, check out the schools’s job placement rate. If their admissions strategy and teaching are solid, it should be north of 90% over six months. This means they’re accepting students who will succeed as developers, not just anyone who can pay the tuition. Next, take a look at the list of companies where alumni take jobs. Are they all funneled into one industry? What’s the ratio of startups to corporations? A diverse set of post-grad placements suggests you’ll learn the programming skills necessary to succeed in any work environment. Also, make sure the school is willing to put its money where its mouth is. Good programs should guarantee you a job in a timely fashion or else give you a significant refund. Would you rather start something of your own? Even better! Keep reading below. The tech industry thrives in areas where entrepreneurs, investors, creatives, and developers—i.e., you!—can easily get together and make the magic happen. Collaborative workspaces, like Geekdom in San Antonio, allow entrepreneurs to build new business and products together. Notable local tech companies like Rackspace and top-tier startup accelerators are also key indicators of a healthy ecosystem and provide important funding sources for new ventures. Cities with diverse, technology-heavy industries (e.g., healthcare, military, energy, aeronautics, automotive, and advanced manufacturing) also offer a strong commercial base to support tech entrepreneurs and job seekers. As you start to build things, it’s also nice to be in a somewhat smaller ecosystem. Getting in on the ground floor of a growing tech scene gives you access to willing and able mentors. Smaller tech cities also tend to have lower costs of living. A new software engineer often finds it helpful to be a big fish in a friendly, easy-to-navigate pond, where the tech community’s got her back in times of success and failure. Keep an eye out for schools with various funding options. Many offer loans that allow students to defer payments until after graduation. That’s a huge plus, but you should also ask about non-profit tuition grants and scholarships. And should you not qualify for these benefits, at least you can rest assured that third parties have vetted your school and its leadership is serious increasing access to education. Immersive coding programs can get you started on an exciting new career path. That said, big life transitions aren’t easy. It’s important to find the right program, and we encourage all applicants to vet their options for how well each school teaches and accommodates their students. If you have any questions or comments about Codeup, or anything else, we’d love to hear from you! Please feel free to send an email to info@codeup.com or schedule a phone call. We’ll be in touch shortly."
